#this file has been interpolated to have an equally spaced grid																																
#this file has been interpolated to have an equally spaced grid																																
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)																																
#alt in km, Tgas in K, chemical species in molecules/cm3																																
5 28																																
index	alt	dummy	Kzz	Tgas	N2	O2	O3	OH	O	CO2	CO	HO2	H2O	NO2	COS	CS2	CS	H	H2S	SH	S	SO	SO2	SO3	HSO	HSO2	HSO3	H2SO4	H2	N	DMS	SO4
30	30	10.75923 	1.51E+04	227 	3.64E+17	6.09E+16	2.84E+12	6.97E+06	3.32E+07	9.21E+13	7.85E+09	6.66E+07	1.45E+13	2.20E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
31	31	9.24070 	1.67E+04	229 	3.18E+17	5.46E+16	2.61E+12	8.54E+06	4.48E+07	8.26E+13	6.29E+09	6.28E+07	1.32E+13	2.03E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
32	32	7.93899 	1.82E+04	231 	2.78E+17	4.90E+16	2.36E+12	1.01E+07	6.00E+07	7.41E+13	5.04E+09	5.74E+07	1.18E+13	1.83E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
33	33	6.83588 	2.00E+04	233 	2.43E+17	4.40E+16	2.12E+12	1.22E+07	7.97E+07	6.66E+13	3.94E+09	4.95E+07	1.02E+13	1.69E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
34	34	5.91014 	2.20E+04	235 	2.12E+17	3.97E+16	1.90E+12	1.38E+07	1.06E+08	6.00E+13	3.16E+09	4.39E+07	8.76E+12	1.41E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
35	35	5.15267 	2.45E+04	237 	1.85E+17	3.58E+16	1.72E+12	1.55E+07	1.43E+08	5.42E+13	2.30E+09	3.90E+07	7.54E+12	1.21E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
36	36	4.44577 	2.75E+04	239 	1.62E+17	3.29E+16	1.55E+12	1.77E+07	1.91E+08	4.90E+13	1.59E+09	3.46E+07	6.47E+12	9.52E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
37	37	3.84601 	3.05E+04	242 	1.41E+17	3.03E+16	1.41E+12	1.90E+07	2.61E+08	4.53E+13	1.21E+09	3.26E+07	5.54E+12	7.14E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
38	38	3.34199 	3.39E+04	245 	1.24E+17	2.80E+16	1.23E+12	2.10E+07	3.49E+08	4.20E+13	9.22E+08	2.98E+07	4.76E+12	5.08E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
39	39	2.92517 	3.80E+04	248 	1.08E+17	2.58E+16	1.07E+12	2.26E+07	4.67E+08	3.91E+13	6.70E+08	2.64E+07	4.09E+12	3.81E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
