#this file has been interpolated to have an equally spaced grid
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)
#alt in km, Tgas in K, chemical species in ppbv
5 55
index	alt	dummy	Tgas	dummy	H2CO	O(3P)	H2O	OH	HO2	H2O2	O3	H	H2	CH4	CO	CH3OOH	CH3O2	N2O	NO	NO2	HNO2	HNO3	HO2NO2	NO3	N2O5	CL2O2	CH3CL	HOCL	CL	CLO	HCL	CLONO2	H2S	HS	SO	SO2	H2SO4	HSO	CH2_1	CH2_3	O(1D)	CH3	H3CO	HCO	N	NOCL	CLONO	CLO2	CL2	S	SO21	SO23	HSO3	SO3	S2	O2	CO2	N2	O
24	24.3375	26.91625	218.675	0.00148	0.02492	0.00677	7220.5	0.00138	0.00843	0.03113	4596.25	0.0	492.2875	1079.75	9.32737	0.00081	0.00015	179.275	1.10412	2.58887	0.0009	8.57825	0.3955	0.00049	0.04573	0.0	0.17591	0.0021	0.0	0.00694	0.14765	0.15242	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
25	25.35156	23.04944	220.6392	0.00126	0.02992	0.01127	7338.352	0.00198	0.01207	0.04873	5290.112	0.0	481.4844	1024.02	9.51031	0.00105	0.00019	165.206	1.3067	3.15094	0.0011	8.87474	0.43159	0.00062	0.05255	0.0	0.15593	0.00339	1e-05	0.00941	0.14372	0.17275	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
26	26.36563	19.80311	222.53126	0.00107	0.0355	0.01818	7454.5319	0.00281	0.01679	0.07158	5971.2536	0.0	470.54681	975.39035	9.72109	0.00129	0.00023	151.28118	1.555	3.8125	0.00135	8.93016	0.45598	0.00076	0.05802	0.0	0.13822	0.00514	1e-05	0.01236	0.1402	0.18898	0.0	0.0	0.0	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
27	27.37969	16.90078	224.55938	0.00091	0.0421	0.0301	7583.5628	0.0041	0.02333	0.10237	6690.1892	0.0	457.36403	919.33736	9.94873	0.00154	0.00028	136.80465	1.90467	4.66011	0.0017	8.70253	0.46504	0.00093	0.0613	0.0	0.12052	0.00773	1e-05	0.01626	0.138	0.20224	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
28	28.39375	14.45375	226.5875	0.00077	0.04903	0.04907	7708.1875	0.00595	0.0315	0.13757	7356.25	0.0	443.59375	862.84375	10.15875	0.00174	0.00034	121.8875	2.35275	5.62375	0.00217	8.20025	0.45148	0.0011	0.06071	0.0	0.10439	0.0112	2e-05	0.0212	0.13917	0.20888	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
29	29.40781	12.39631	228.55965	0.00065	0.0558	0.07777	7833.57927	0.00848	0.04099	0.17251	7914.31709	0.0	428.80259	808.32967	10.35597	0.00189	0.0004	108.08242	2.89349	6.60983	0.00273	7.47935	0.41729	0.00125	0.05595	0.0	0.08938	0.01558	3e-05	0.02743	0.14368	0.20932	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
30	30.42188	10.75609	230.44376	0.00056	0.06205	0.11909	7948.8444	0.01178	0.05136	0.20299	8339.8768	0.0	414.22804	755.7966	10.54438	0.00198	0.00047	95.07118	3.49753	7.52747	0.00335	6.64256	0.36824	0.00136	0.04814	0.0	0.07653	0.02084	4e-05	0.0351	0.15022	0.20189	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
31	31.43594	9.2362	232.47188	0.00048	0.06805	0.186	8080.6722	0.01657	0.06372	0.22801	8676.6256	0.0	396.98902	700.25924	10.72359	0.00203	0.00054	81.89794	4.23639	8.3828	0.00406	5.64406	0.30443	0.00144	0.0377	0.0	0.06416	0.02767	6e-05	0.04577	0.16107	0.18581	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
32	32.45	7.9375	234.75	0.00041	0.07315	0.288	8210.0	0.0229	0.07683	0.24275	8887.5	0.0	379.5	646.0	10.825	0.00203	0.00063	69.675	5.0525	9.01	0.00478	4.6425	0.23825	0.00147	0.02725	0.0	0.05318	0.03538	9e-05	0.05928	0.17475	0.162	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
33	33.46406	6.83386	237.52812	0.00035	0.07709	0.44413	8331.6872	0.03124	0.09029	0.24694	8977.9218	0.0	360.98286	593.53294	10.92641	0.00199	0.00073	58.53299	5.92501	9.33377	0.00547	3.70819	0.17674	0.00144	0.01825	0.0	0.04366	0.04328	0.00013	0.07563	0.18943	0.13308	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
