0 Branching ratio for H2O       Total        1 branches
Lambda          Total           OH/H              H2/O
1476.04   7.97E-19  7.97E-19  0.00E+00
1477.04   8.12E-19  8.12E-19  0.00E+00
1478.04   8.24E-19  8.24E-19  0.00E+00
1479.04   8.36E-19  8.36E-19  0.00E+00
1480.04   8.47E-19  8.47E-19  0.00E+00
1481.04   8.62E-19  8.62E-19  0.00E+00
1482.04   8.73E-19  8.73E-19  0.00E+00
1483.04   8.90E-19  8.90E-19  0.00E+00
1484.04   9.04E-19  9.04E-19  0.00E+00
1485.04   9.20E-19  9.20E-19  0.00E+00
1486.04   9.40E-19  9.40E-19  0.00E+00
1487.04   9.59E-19  9.59E-19  0.00E+00
1488.04   9.79E-19  9.79E-19  0.00E+00
1489.04   9.88E-19  9.88E-19  0.00E+00
1490.04   1.01E-18  1.01E-18  0.00E+00
1491.04   1.02E-18  1.02E-18  0.00E+00
1492.04   1.04E-18  1.04E-18  0.00E+00
1493.04   1.07E-18  1.07E-18  0.00E+00
1494.04   1.09E-18  1.09E-18  0.00E+00
1495.04   1.12E-18  1.12E-18  0.00E+00
1496.04   1.15E-18  1.15E-18  0.00E+00
1497.04   1.14E-18  1.14E-18  0.00E+00
1498.04   1.15E-18  1.15E-18  0.00E+00
1499.04   1.17E-18  1.17E-18  0.00E+00
1500.04   1.19E-18  1.19E-18  0.00E+00
1501.04   1.21E-18  1.21E-18  0.00E+00
1502.04   1.25E-18  1.25E-18  0.00E+00
1503.04   1.27E-18  1.27E-18  0.00E+00
1504.04   1.29E-18  1.29E-18  0.00E+00
1505.04   1.30E-18  1.30E-18  0.00E+00
1506.05   1.32E-18  1.32E-18  0.00E+00
1507.05   1.36E-18  1.36E-18  0.00E+00
1508.05   1.40E-18  1.40E-18  0.00E+00
1509.05   1.41E-18  1.41E-18  0.00E+00
1510.05   1.42E-18  1.42E-18  0.00E+00
1511.05   1.43E-18  1.43E-18  0.00E+00
1512.05   1.44E-18  1.44E-18  0.00E+00
1513.05   1.45E-18  1.45E-18  0.00E+00
1514.05   1.48E-18  1.48E-18  0.00E+00
1515.05   1.50E-18  1.50E-18  0.00E+00
1516.05   1.55E-18  1.55E-18  0.00E+00
1517.05   1.60E-18  1.60E-18  0.00E+00
1518.05   1.63E-18  1.63E-18  0.00E+00
1519.05   1.64E-18  1.64E-18  0.00E+00
1520.05   1.64E-18  1.64E-18  0.00E+00
1521.05   1.66E-18  1.66E-18  0.00E+00
1522.05   1.68E-18  1.68E-18  0.00E+00
1523.05   1.71E-18  1.71E-18  0.00E+00
1524.05   1.75E-18  1.75E-18  0.00E+00
1525.05   1.77E-18  1.77E-18  0.00E+00
1526.05   1.78E-18  1.78E-18  0.00E+00
1527.05   1.79E-18  1.79E-18  0.00E+00
1528.05   1.83E-18  1.83E-18  0.00E+00
1529.05   1.89E-18  1.89E-18  0.00E+00
1530.05   1.98E-18  1.98E-18  0.00E+00
1531.05   2.10E-18  2.10E-18  0.00E+00
1532.05   2.18E-18  2.18E-18  0.00E+00
1533.05   2.15E-18  2.15E-18  0.00E+00
1534.05   2.09E-18  2.09E-18  0.00E+00
1535.05   2.06E-18  2.06E-18  0.00E+00
1536.05   2.05E-18  2.05E-18  0.00E+00
1537.05   2.04E-18  2.04E-18  0.00E+00
1538.05   2.05E-18  2.05E-18  0.00E+00
1539.05   2.07E-18  2.07E-18  0.00E+00
1540.05   2.11E-18  2.11E-18  0.00E+00
1541.05   2.13E-18  2.13E-18  0.00E+00
1542.05   2.15E-18  2.15E-18  0.00E+00
1543.05   2.18E-18  2.18E-18  0.00E+00
1544.05   2.20E-18  2.20E-18  0.00E+00
1545.05   2.22E-18  2.22E-18  0.00E+00
1546.05   2.25E-18  2.25E-18  0.00E+00
1547.05   2.27E-18  2.27E-18  0.00E+00
1548.05   2.31E-18  2.31E-18  0.00E+00
1549.05   2.34E-18  2.34E-18  0.00E+00
1550.05   2.37E-18  2.37E-18  0.00E+00
1551.05   2.40E-18  2.40E-18  0.00E+00
1552.05   2.42E-18  2.42E-18  0.00E+00
1553.05   2.45E-18  2.45E-18  0.00E+00
1554.05   2.48E-18  2.48E-18  0.00E+00
1555.05   2.51E-18  2.51E-18  0.00E+00
1556.05   2.54E-18  2.54E-18  0.00E+00
1557.05   2.57E-18  2.57E-18  0.00E+00
1558.05   2.60E-18  2.60E-18  0.00E+00
1559.05   2.63E-18  2.63E-18  0.00E+00
1560.05   2.66E-18  2.66E-18  0.00E+00
1561.05   2.69E-18  2.69E-18  0.00E+00
1562.05   2.71E-18  2.71E-18  0.00E+00
1563.05   2.74E-18  2.74E-18  0.00E+00
1564.05   2.78E-18  2.78E-18  0.00E+00
1565.05   2.81E-18  2.81E-18  0.00E+00
1566.05   2.84E-18  2.84E-18  0.00E+00
1567.05   2.87E-18  2.87E-18  0.00E+00
1568.05   2.89E-18  2.89E-18  0.00E+00
1569.05   2.92E-18  2.92E-18  0.00E+00
1570.05   2.94E-18  2.94E-18  0.00E+00
1571.05   2.98E-18  2.98E-18  0.00E+00
1572.05   3.01E-18  3.01E-18  0.00E+00
1573.05   3.04E-18  3.04E-18  0.00E+00
1574.06   3.08E-18  3.08E-18  0.00E+00
1575.06   3.11E-18  3.11E-18  0.00E+00
1576.06   3.14E-18  3.14E-18  0.00E+00
1577.06   3.17E-18  3.17E-18  0.00E+00
1578.06   3.21E-18  3.21E-18  0.00E+00
1579.06   3.25E-18  3.25E-18  0.00E+00
1580.06   3.28E-18  3.28E-18  0.00E+00
1581.06   3.31E-18  3.31E-18  0.00E+00
1582.06   3.33E-18  3.33E-18  0.00E+00
1583.06   3.36E-18  3.36E-18  0.00E+00
1584.06   3.38E-18  3.38E-18  0.00E+00
1585.06   3.42E-18  3.42E-18  0.00E+00
1586.06   3.45E-18  3.45E-18  0.00E+00
1587.06   3.48E-18  3.48E-18  0.00E+00
1588.06   3.51E-18  3.51E-18  0.00E+00
1589.06   3.53E-18  3.53E-18  0.00E+00
1590.06   3.54E-18  3.54E-18  0.00E+00
1591.06   3.55E-18  3.55E-18  0.00E+00
1592.06   3.56E-18  3.56E-18  0.00E+00
1593.06   3.59E-18  3.59E-18  0.00E+00
1594.06   3.62E-18  3.62E-18  0.00E+00
1595.06   3.65E-18  3.65E-18  0.00E+00
1596.06   3.70E-18  3.70E-18  0.00E+00
1597.06   3.75E-18  3.75E-18  0.00E+00
1598.06   3.81E-18  3.81E-18  0.00E+00
1599.06   3.86E-18  3.86E-18  0.00E+00
1600.06   3.87E-18  3.87E-18  0.00E+00
1601.06   3.89E-18  3.89E-18  0.00E+00
1602.06   3.92E-18  3.92E-18  0.00E+00
1603.06   3.94E-18  3.94E-18  0.00E+00
1604.06   3.97E-18  3.97E-18  0.00E+00
1605.06   4.00E-18  4.00E-18  0.00E+00
1606.06   4.05E-18  4.05E-18  0.00E+00
1607.06   4.09E-18  4.09E-18  0.00E+00
1608.06   4.10E-18  4.10E-18  0.00E+00
1609.06   4.13E-18  4.13E-18  0.00E+00
1610.06   4.15E-18  4.15E-18  0.00E+00
1611.06   4.16E-18  4.16E-18  0.00E+00
1612.06   4.18E-18  4.18E-18  0.00E+00
1613.06   4.18E-18  4.18E-18  0.00E+00
1614.06   4.20E-18  4.20E-18  0.00E+00
1615.06   4.24E-18  4.24E-18  0.00E+00
