0          References for Cross Section of NO        Total   
Cross section:                                                                  
Lambda = 1.-180. A                                                              
   Cross section synthesized from the atomic cross section of N and O           
Lambda = 180.-580. A                                                            
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
Lambda = 580.-1350. A                                                           
   Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
   Appl. Opt. 6, 391                                                            
Lambda = 1350.-1910. A                                                          
   Marmo, F. F. (1953)                                                          
   J. Opt. Soc. Am. 43, 1186                                                    
  737.9 2.53E-17 2.10E-17 0.00E+00 0.00E+00 4.30E-18
  738.6 2.72E-17 1.80E-17 0.00E+00 0.00E+00 9.25E-18
  740.3 1.45E-17 1.19E-17 0.00E+00 0.00E+00 2.57E-18
  741.0 1.41E-17 1.25E-17 0.00E+00 0.00E+00 1.55E-18
  741.3 1.64E-17 1.38E-17 0.00E+00 0.00E+00 2.62E-18
  741.9 1.86E-17 1.38E-17 0.00E+00 0.00E+00 4.84E-18
  742.9 1.67E-17 1.16E-17 0.00E+00 0.00E+00 5.05E-18
  743.2 1.75E-17 1.20E-17 0.00E+00 0.00E+00 5.52E-18
  743.7 1.64E-17 1.09E-17 0.00E+00 0.00E+00 5.52E-18
  744.4 2.27E-17 1.44E-17 0.00E+00 0.00E+00 8.31E-18
  744.7 2.20E-17 1.37E-17 0.00E+00 0.00E+00 8.33E-18
  745.2 2.57E-17 1.54E-17 0.00E+00 0.00E+00 1.03E-17
  745.8 2.05E-17 1.46E-17 0.00E+00 0.00E+00 5.95E-18
  746.1 1.97E-17 1.52E-17 0.00E+00 0.00E+00 4.53E-18
  747.0 1.49E-17 1.36E-17 0.00E+00 0.00E+00 1.34E-18
  747.5 1.45E-17 1.29E-17 0.00E+00 0.00E+00 1.58E-18
  747.8 1.43E-17 1.26E-17 0.00E+00 0.00E+00 1.72E-18
  748.1 1.79E-17 1.47E-17 0.00E+00 0.00E+00 3.22E-18
  748.6 1.67E-17 1.20E-17 0.00E+00 0.00E+00 4.74E-18
