0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
1436.03   6.45E-18  6.45E-18
1437.03   6.45E-18  6.45E-18
1438.04   6.45E-18  6.45E-18
1439.04   6.45E-18  6.45E-18
1440.04   6.46E-18  6.46E-18
1441.04   6.46E-18  6.46E-18
1442.04   6.46E-18  6.46E-18
1443.04   6.46E-18  6.46E-18
1444.04   6.46E-18  6.46E-18
1445.04   6.46E-18  6.46E-18
1446.04   6.46E-18  6.46E-18
1447.04   6.46E-18  6.46E-18
1448.04   6.46E-18  6.46E-18
1449.04   6.46E-18  6.46E-18
1450.04   6.47E-18  6.47E-18
1451.04   6.47E-18  6.47E-18
1452.04   6.47E-18  6.47E-18
1453.04   6.47E-18  6.47E-18
1454.04   6.47E-18  6.47E-18
1455.04   6.47E-18  6.47E-18
1456.04   6.47E-18  6.47E-18
1457.04   6.47E-18  6.47E-18
1458.04   6.47E-18  6.47E-18
1459.04   6.48E-18  6.48E-18
1460.04   6.48E-18  6.48E-18
1461.04   6.48E-18  6.48E-18
1462.04   6.48E-18  6.48E-18
1463.04   6.48E-18  6.48E-18
1464.04   6.48E-18  6.48E-18
1465.04   6.48E-18  6.48E-18
1466.04   6.48E-18  6.48E-18
1467.04   6.48E-18  6.48E-18
1468.04   6.48E-18  6.48E-18
1469.04   6.49E-18  6.49E-18
1470.04   6.49E-18  6.49E-18
1471.04   6.49E-18  6.49E-18
1472.04   6.49E-18  6.49E-18
1473.04   6.49E-18  6.49E-18
1474.04   6.49E-18  6.49E-18
1475.04   6.49E-18  6.49E-18
1476.04   6.49E-18  6.49E-18
1477.04   6.49E-18  6.49E-18
1478.04   6.49E-18  6.49E-18
1479.04   6.50E-18  6.50E-18
1480.04   6.50E-18  6.50E-18
1481.04   6.50E-18  6.50E-18
1482.04   6.50E-18  6.50E-18
1483.04   6.50E-18  6.50E-18
1484.04   6.50E-18  6.50E-18
1485.04   6.50E-18  6.50E-18
1486.04   6.50E-18  6.50E-18
1487.04   6.50E-18  6.50E-18
1488.04   6.51E-18  6.51E-18
1489.04   6.51E-18  6.51E-18
1490.04   6.51E-18  6.51E-18
1491.04   6.51E-18  6.51E-18
1492.04   6.51E-18  6.51E-18
1493.04   6.51E-18  6.51E-18
1494.04   6.51E-18  6.51E-18
1495.04   6.51E-18  6.51E-18
1496.04   6.51E-18  6.51E-18
1497.04   6.51E-18  6.51E-18
1498.04   6.52E-18  6.52E-18
1499.04   6.52E-18  6.52E-18
1500.04   6.52E-18  6.52E-18
1501.04   6.52E-18  6.52E-18
1502.04   6.52E-18  6.52E-18
1503.04   6.52E-18  6.52E-18
1504.04   6.52E-18  6.52E-18
1505.04   6.52E-18  6.52E-18
1506.05   6.52E-18  6.52E-18
1507.05   6.53E-18  6.53E-18
1508.05   6.53E-18  6.53E-18
1509.05   6.53E-18  6.53E-18
1510.05   6.53E-18  6.53E-18
1511.05   6.53E-18  6.53E-18
1512.05   6.53E-18  6.53E-18
1513.05   6.53E-18  6.53E-18
1514.05   6.53E-18  6.53E-18
1515.05   6.53E-18  6.53E-18
1516.05   6.53E-18  6.53E-18
1517.05   6.54E-18  6.54E-18
1518.05   6.54E-18  6.54E-18
1519.05   6.54E-18  6.54E-18
1520.05   6.54E-18  6.54E-18
1521.05   6.54E-18  6.54E-18
1522.05   6.54E-18  6.54E-18
1523.05   6.54E-18  6.54E-18
1524.05   6.54E-18  6.54E-18
1525.05   6.54E-18  6.54E-18
1526.05   6.54E-18  6.54E-18
1527.05   6.55E-18  6.55E-18
1528.05   6.55E-18  6.55E-18
1529.05   6.55E-18  6.55E-18
1530.05   6.55E-18  6.55E-18
1531.05   6.55E-18  6.55E-18
1532.05   6.55E-18  6.55E-18
1533.05   6.55E-18  6.55E-18
1534.05   6.55E-18  6.55E-18
1535.05   6.55E-18  6.55E-18
1536.05   6.56E-18  6.56E-18
1537.05   6.56E-18  6.56E-18
1538.05   6.56E-18  6.56E-18
1539.05   6.56E-18  6.56E-18
1540.05   6.56E-18  6.56E-18
1541.05   6.56E-18  6.56E-18
1542.05   6.56E-18  6.56E-18
1543.05   6.56E-18  6.56E-18
1544.05   6.56E-18  6.56E-18
1545.05   6.56E-18  6.56E-18
1546.05   6.57E-18  6.57E-18
1547.05   6.57E-18  6.57E-18
1548.05   6.57E-18  6.57E-18
1549.05   6.57E-18  6.57E-18
1550.05   6.57E-18  6.57E-18
1551.05   6.57E-18  6.57E-18
1552.05   6.57E-18  6.57E-18
1553.05   6.57E-18  6.57E-18
1554.05   6.57E-18  6.57E-18
1555.05   6.58E-18  6.58E-18
1556.05   6.58E-18  6.58E-18
1557.05   6.58E-18  6.58E-18
1558.05   6.58E-18  6.58E-18
1559.05   6.58E-18  6.58E-18
1560.05   6.58E-18  6.58E-18
1561.05   6.58E-18  6.58E-18
1562.05   6.58E-18  6.58E-18
1563.05   6.58E-18  6.58E-18
1564.05   6.58E-18  6.58E-18
1565.05   6.59E-18  6.59E-18
1566.05   6.59E-18  6.59E-18
1567.05   6.59E-18  6.59E-18
1568.05   6.59E-18  6.59E-18
1569.05   6.59E-18  6.59E-18
1570.05   6.59E-18  6.59E-18
1571.05   6.59E-18  6.59E-18
1572.05   6.59E-18  6.59E-18
1573.05   6.59E-18  6.59E-18
1574.06   6.59E-18  6.59E-18
1575.06   6.60E-18  6.60E-18
1576.06   6.60E-18  6.60E-18
1577.06   6.60E-18  6.60E-18
1578.06   6.60E-18  6.60E-18
1579.06   6.60E-18  6.60E-18
1580.06   6.60E-18  6.60E-18
1581.06   6.60E-18  6.60E-18
1582.06   6.60E-18  6.60E-18
1583.06   6.60E-18  6.60E-18
1584.06   6.61E-18  6.61E-18
1585.06   6.61E-18  6.61E-18
1586.06   6.61E-18  6.61E-18
1587.06   6.61E-18  6.61E-18
1588.06   6.61E-18  6.61E-18
1589.06   6.61E-18  6.61E-18
1590.06   6.61E-18  6.61E-18
1591.06   6.61E-18  6.61E-18
1592.06   6.61E-18  6.61E-18
1593.06   6.61E-18  6.61E-18
1594.06   6.62E-18  6.62E-18
1595.06   6.62E-18  6.62E-18
1596.06   6.62E-18  6.62E-18
1597.06   6.62E-18  6.62E-18
1598.06   6.62E-18  6.62E-18
1599.06   6.62E-18  6.62E-18
1600.06   6.62E-18  6.62E-18
1601.06   6.62E-18  6.62E-18
1602.06   6.62E-18  6.62E-18
1603.06   6.63E-18  6.63E-18
1604.06   6.63E-18  6.63E-18
1605.06   6.63E-18  6.63E-18
1606.06   6.63E-18  6.63E-18
1607.06   6.63E-18  6.63E-18
1608.06   6.63E-18  6.63E-18
1609.06   6.63E-18  6.63E-18
1610.06   6.63E-18  6.63E-18
1611.06   6.63E-18  6.63E-18
1612.06   6.63E-18  6.63E-18
1613.06   6.64E-18  6.64E-18
1614.06   6.64E-18  6.64E-18
1615.06   6.64E-18  6.64E-18
1616.06   6.64E-18  6.64E-18
1617.06   6.64E-18  6.64E-18
1618.06   6.64E-18  6.64E-18
1619.06   6.64E-18  6.64E-18
1620.06   6.64E-18  6.64E-18
1621.06   6.64E-18  6.64E-18
1622.06   6.64E-18  6.64E-18
1623.06   6.65E-18  6.65E-18
1624.06   6.65E-18  6.65E-18
1625.06   6.65E-18  6.65E-18
1626.06   6.65E-18  6.65E-18
1627.06   6.65E-18  6.65E-18
1628.06   6.65E-18  6.65E-18
1629.06   6.65E-18  6.65E-18
1630.06   6.65E-18  6.65E-18
1631.06   6.65E-18  6.65E-18
1632.06   6.66E-18  6.66E-18
1633.06   6.66E-18  6.66E-18
1634.06   6.66E-18  6.66E-18
1635.06   6.66E-18  6.66E-18
1636.06   6.66E-18  6.66E-18
1637.06   6.66E-18  6.66E-18
1638.06   6.66E-18  6.66E-18
1639.06   6.66E-18  6.66E-18
1640.06   6.66E-18  6.66E-18
1641.06   6.66E-18  6.66E-18
1642.07   6.67E-18  6.67E-18
1643.07   6.67E-18  6.67E-18
1644.07   6.67E-18  6.67E-18
1645.07   6.67E-18  6.67E-18
1646.07   6.67E-18  6.67E-18
1647.07   6.67E-18  6.67E-18
1648.07   6.67E-18  6.67E-18
1649.07   6.67E-18  6.67E-18
1650.07   6.67E-18  6.67E-18
1651.07   6.67E-18  6.67E-18
1652.07   6.68E-18  6.68E-18
1653.07   6.68E-18  6.68E-18
1654.07   6.68E-18  6.68E-18
1655.07   6.68E-18  6.68E-18
1656.07   6.68E-18  6.68E-18
1657.07   6.68E-18  6.68E-18
1658.07   6.68E-18  6.68E-18
1659.07   6.68E-18  6.68E-18
1660.07   6.68E-18  6.68E-18
1661.07   6.69E-18  6.69E-18
1662.07   6.69E-18  6.69E-18
1663.07   6.69E-18  6.69E-18
1664.07   6.69E-18  6.69E-18
1665.07   6.69E-18  6.69E-18
1666.07   6.69E-18  6.69E-18
1667.07   6.69E-18  6.69E-18
1668.07   6.69E-18  6.69E-18
1669.07   6.69E-18  6.69E-18
1670.07   6.69E-18  6.69E-18
1671.07   6.70E-18  6.70E-18
1672.07   6.70E-18  6.70E-18
1673.07   6.70E-18  6.70E-18
1674.07   6.70E-18  6.70E-18
1675.07   6.70E-18  6.70E-18
1676.07   6.70E-18  6.70E-18
1677.07   6.70E-18  6.70E-18
1678.07   6.70E-18  6.70E-18
1679.07   6.70E-18  6.70E-18
1680.07   6.71E-18  6.71E-18
1681.07   6.71E-18  6.71E-18
1682.07   6.71E-18  6.71E-18
1683.07   6.71E-18  6.71E-18
1684.07   6.71E-18  6.71E-18
1685.07   6.71E-18  6.71E-18
1686.07   6.71E-18  6.71E-18
1687.07   6.71E-18  6.71E-18
1688.07   6.71E-18  6.71E-18
1689.07   6.71E-18  6.71E-18
1690.07   6.72E-18  6.72E-18
1691.07   6.72E-18  6.72E-18
1692.07   6.72E-18  6.72E-18
1693.07   6.72E-18  6.72E-18
1694.07   6.72E-18  6.72E-18
1695.07   6.72E-18  6.72E-18
1696.07   6.72E-18  6.72E-18
1697.07   6.72E-18  6.72E-18
1698.07   6.72E-18  6.72E-18
1699.07   6.72E-18  6.72E-18
1700.07   6.73E-18  6.73E-18
1701.07   6.73E-18  6.73E-18
1702.07   6.73E-18  6.73E-18
1703.07   6.73E-18  6.73E-18
1704.07   6.73E-18  6.73E-18
1705.07   6.73E-18  6.73E-18
1706.07   6.73E-18  6.73E-18
1707.07   6.73E-18  6.73E-18
1708.07   6.73E-18  6.73E-18
