0 Branching ratio for CH3OH      Total        2 branches
Lambda        Total        CH3/OH            CH3O/H
1538.05    5.37E-18    2.68E-18    2.68E-18
1539.05    5.41E-18    2.71E-18    2.71E-18
1540.05    5.43E-18    2.72E-18    2.72E-18
1541.05    5.43E-18    2.72E-18    2.72E-18
1542.05    5.43E-18    2.72E-18    2.72E-18
1543.05    5.45E-18    2.72E-18    2.72E-18
1544.05    5.52E-18    2.76E-18    2.76E-18
1545.05    5.62E-18    2.81E-18    2.81E-18
1546.05    5.73E-18    2.87E-18    2.87E-18
1547.05    5.86E-18    2.93E-18    2.93E-18
1548.05    5.97E-18    2.98E-18    2.98E-18
1549.05    6.06E-18    3.03E-18    3.03E-18
1550.05    6.16E-18    3.08E-18    3.08E-18
1551.05    6.27E-18    3.13E-18    3.13E-18
1552.05    6.38E-18    3.19E-18    3.19E-18
1553.05    6.51E-18    3.26E-18    3.26E-18
1554.05    6.69E-18    3.35E-18    3.35E-18
1555.05    6.97E-18    3.48E-18    3.48E-18
1556.05    7.35E-18    3.68E-18    3.68E-18
1557.05    7.75E-18    3.88E-18    3.88E-18
1558.05    8.05E-18    4.03E-18    4.03E-18
1559.05    8.20E-18    4.10E-18    4.10E-18
1560.05    8.21E-18    4.11E-18    4.11E-18
1561.05    8.27E-18    4.13E-18    4.13E-18
1562.05    8.45E-18    4.22E-18    4.22E-18
1563.05    8.82E-18    4.41E-18    4.41E-18
1564.05    9.31E-18    4.66E-18    4.66E-18
1565.05    9.52E-18    4.76E-18    4.76E-18
1566.05    9.28E-18    4.64E-18    4.64E-18
1567.05    8.79E-18    4.40E-18    4.40E-18
1568.05    8.29E-18    4.15E-18    4.15E-18
1569.05    7.95E-18    3.98E-18    3.98E-18
1570.05    7.80E-18    3.90E-18    3.90E-18
1571.05    7.77E-18    3.89E-18    3.89E-18
1572.05    7.87E-18    3.93E-18    3.93E-18
1573.05    8.18E-18    4.09E-18    4.09E-18
1574.06    8.71E-18    4.36E-18    4.36E-18
1575.06    9.34E-18    4.67E-18    4.67E-18
1576.06    9.95E-18    4.98E-18    4.98E-18
1577.06    1.03E-17    5.16E-18    5.16E-18
1578.06    1.03E-17    5.16E-18    5.16E-18
1579.06    1.02E-17    5.10E-18    5.10E-18
1580.06    1.03E-17    5.14E-18    5.14E-18
1581.06    1.07E-17    5.36E-18    5.36E-18
1582.06    1.15E-17    5.75E-18    5.75E-18
1583.06    1.23E-17    6.14E-18    6.14E-18
1584.06    1.25E-17    6.25E-18    6.25E-18
1585.06    1.19E-17    5.96E-18    5.96E-18
1586.06    1.10E-17    5.49E-18    5.49E-18
1587.06    1.05E-17    5.24E-18    5.24E-18
1588.06    1.03E-17    5.17E-18    5.17E-18
1589.06    1.04E-17    5.20E-18    5.20E-18
1590.06    1.06E-17    5.29E-18    5.29E-18
1591.06    1.02E-17    5.11E-18    5.11E-18
1592.06    9.21E-18    4.60E-18    4.60E-18
1593.06    7.97E-18    3.99E-18    3.99E-18
1594.06    6.91E-18    3.45E-18    3.45E-18
1595.06    6.20E-18    3.10E-18    3.10E-18
1596.06    5.84E-18    2.92E-18    2.92E-18
1597.06    5.79E-18    2.90E-18    2.90E-18
1598.06    5.99E-18    3.00E-18    3.00E-18
1599.06    6.50E-18    3.25E-18    3.25E-18
1600.06    7.43E-18    3.71E-18    3.71E-18
1601.06    8.91E-18    4.46E-18    4.46E-18
1602.06    1.12E-17    5.58E-18    5.58E-18
1603.06    1.38E-17    6.90E-18    6.90E-18
1604.06    1.56E-17    7.79E-18    7.79E-18
1605.06    1.54E-17    7.70E-18    7.70E-18
1606.06    1.35E-17    6.73E-18    6.73E-18
1607.06    1.08E-17    5.40E-18    5.40E-18
1608.06    8.30E-18    4.15E-18    4.15E-18
1609.06    6.41E-18    3.20E-18    3.20E-18
1610.06    5.11E-18    2.56E-18    2.56E-18
1611.06    4.28E-18    2.14E-18    2.14E-18
1612.06    3.70E-18    1.85E-18    1.85E-18
1613.06    3.27E-18    1.63E-18    1.63E-18
1614.06    2.88E-18    1.44E-18    1.44E-18
1615.06    2.53E-18    1.26E-18    1.26E-18
1616.06    2.23E-18    1.12E-18    1.12E-18
1617.06    1.99E-18    9.96E-19    9.96E-19
1618.06    1.79E-18    8.94E-19    8.94E-19
1619.06    1.61E-18    8.04E-19    8.04E-19
1620.06    1.43E-18    7.15E-19    7.15E-19
1621.06    1.27E-18    6.37E-19    6.37E-19
1622.06    1.12E-18    5.61E-19    5.61E-19
1623.06    9.86E-19    4.93E-19    4.93E-19
1624.06    8.62E-19    4.31E-19    4.31E-19
1625.06    7.56E-19    3.78E-19    3.78E-19
1626.06    6.66E-19    3.33E-19    3.33E-19
1627.06    5.91E-19    2.96E-19    2.96E-19
1628.06    5.32E-19    2.66E-19    2.66E-19
1629.06    4.82E-19    2.41E-19    2.41E-19
1630.06    4.40E-19    2.20E-19    2.20E-19
1631.06    4.05E-19    2.03E-19    2.03E-19
1632.06    3.77E-19    1.88E-19    1.88E-19
1633.06    3.53E-19    1.77E-19    1.77E-19
1634.06    3.33E-19    1.67E-19    1.67E-19
1635.06    3.17E-19    1.59E-19    1.59E-19
1636.06    3.05E-19    1.52E-19    1.52E-19
1637.06    2.96E-19    1.48E-19    1.48E-19
1638.06    2.88E-19    1.44E-19    1.44E-19
1639.06    2.83E-19    1.41E-19    1.41E-19
1640.06    2.78E-19    1.39E-19    1.39E-19
1641.06    2.73E-19    1.36E-19    1.36E-19
1642.07    2.68E-19    1.34E-19    1.34E-19
1643.07    2.64E-19    1.32E-19    1.32E-19
1644.07    2.59E-19    1.30E-19    1.30E-19
1645.07    2.55E-19    1.28E-19    1.28E-19
1646.07    2.51E-19    1.26E-19    1.26E-19
1647.07    2.48E-19    1.24E-19    1.24E-19
1648.07    2.46E-19    1.23E-19    1.23E-19
1649.07    2.44E-19    1.22E-19    1.22E-19
1650.07    2.43E-19    1.21E-19    1.21E-19
1651.07    2.42E-19    1.21E-19    1.21E-19
1652.07    2.41E-19    1.20E-19    1.20E-19
1653.07    2.40E-19    1.20E-19    1.20E-19
1654.07    2.40E-19    1.20E-19    1.20E-19
1655.07    2.40E-19    1.20E-19    1.20E-19
1656.07    2.40E-19    1.20E-19    1.20E-19
1657.07    2.40E-19    1.20E-19    1.20E-19
1658.07    2.40E-19    1.20E-19    1.20E-19
1659.07    2.41E-19    1.20E-19    1.20E-19
1660.07    2.41E-19    1.21E-19    1.21E-19
1661.07    2.42E-19    1.21E-19    1.21E-19
1662.07    2.43E-19    1.21E-19    1.21E-19
1663.07    2.44E-19    1.22E-19    1.22E-19
1664.07    2.44E-19    1.22E-19    1.22E-19
1665.07    2.46E-19    1.23E-19    1.23E-19
1666.07    2.47E-19    1.23E-19    1.23E-19
1667.07    2.48E-19    1.24E-19    1.24E-19
1668.07    2.49E-19    1.25E-19    1.25E-19
1669.07    2.51E-19    1.25E-19    1.25E-19
1670.07    2.52E-19    1.26E-19    1.26E-19
1671.07    2.53E-19    1.27E-19    1.27E-19
1672.07    2.55E-19    1.28E-19    1.28E-19
1673.07    2.57E-19    1.28E-19    1.28E-19
1674.07    2.58E-19    1.29E-19    1.29E-19
1675.07    2.60E-19    1.30E-19    1.30E-19
1676.07    2.62E-19    1.31E-19    1.31E-19
1677.07    2.64E-19    1.32E-19    1.32E-19
1678.07    2.65E-19    1.33E-19    1.33E-19
1679.07    2.67E-19    1.33E-19    1.33E-19
1680.07    2.68E-19    1.34E-19    1.34E-19
1681.07    2.70E-19    1.35E-19    1.35E-19
1682.07    2.72E-19    1.36E-19    1.36E-19
1683.07    2.74E-19    1.37E-19    1.37E-19
1684.07    2.76E-19    1.38E-19    1.38E-19
1685.07    2.78E-19    1.39E-19    1.39E-19
1686.07    2.80E-19    1.40E-19    1.40E-19
1687.07    2.82E-19    1.41E-19    1.41E-19
1688.07    2.85E-19    1.42E-19    1.42E-19
1689.07    2.87E-19    1.43E-19    1.43E-19
1690.07    2.89E-19    1.44E-19    1.44E-19
1691.07    2.91E-19    1.46E-19    1.46E-19
1692.07    2.94E-19    1.47E-19    1.47E-19
1693.07    2.96E-19    1.48E-19    1.48E-19
1694.07    2.98E-19    1.49E-19    1.49E-19
1695.07    3.01E-19    1.51E-19    1.51E-19
1696.07    3.03E-19    1.52E-19    1.52E-19
1697.07    3.05E-19    1.53E-19    1.53E-19
1698.07    3.08E-19    1.54E-19    1.54E-19
1699.07    3.10E-19    1.55E-19    1.55E-19
1700.07    3.12E-19    1.56E-19    1.56E-19
1701.07    3.15E-19    1.58E-19    1.58E-19
1702.07    3.17E-19    1.59E-19    1.59E-19
1703.07    3.20E-19    1.60E-19    1.60E-19
1704.07    3.23E-19    1.61E-19    1.61E-19
1705.07    3.25E-19    1.63E-19    1.63E-19
1706.07    3.28E-19    1.64E-19    1.64E-19
1707.07    3.32E-19    1.66E-19    1.66E-19
1708.07    3.34E-19    1.67E-19    1.67E-19
1709.07    3.37E-19    1.68E-19    1.68E-19
1710.08    3.40E-19    1.70E-19    1.70E-19
1711.08    3.42E-19    1.71E-19    1.71E-19
1712.08    3.45E-19    1.73E-19    1.73E-19
1713.08    3.47E-19    1.74E-19    1.74E-19
1714.08    3.51E-19    1.75E-19    1.75E-19
1715.08    3.53E-19    1.76E-19    1.76E-19
1716.08    3.56E-19    1.78E-19    1.78E-19
1717.08    3.58E-19    1.79E-19    1.79E-19
1718.08    3.61E-19    1.81E-19    1.81E-19
1719.08    3.64E-19    1.82E-19    1.82E-19
1720.08    3.67E-19    1.84E-19    1.84E-19
1721.08    3.70E-19    1.85E-19    1.85E-19
1722.08    3.73E-19    1.86E-19    1.86E-19
1723.08    3.76E-19    1.88E-19    1.88E-19
1724.08    3.79E-19    1.89E-19    1.89E-19
1725.08    3.82E-19    1.91E-19    1.91E-19
1726.08    3.85E-19    1.92E-19    1.92E-19
1727.08    3.88E-19    1.94E-19    1.94E-19
1728.08    3.91E-19    1.96E-19    1.96E-19
1729.08    3.95E-19    1.97E-19    1.97E-19
1730.08    3.98E-19    1.99E-19    1.99E-19
1731.08    4.01E-19    2.00E-19    2.00E-19
1732.08    4.04E-19    2.02E-19    2.02E-19
1733.08    4.07E-19    2.03E-19    2.03E-19
1734.08    4.10E-19    2.05E-19    2.05E-19
