0 Branching ratio for O3      Total        2 branches
Lambda        Total        O2/O(1D)      O2/O
1385.03   7.91E-18  0.00E+00  7.91E-18
1386.03   7.86E-18  0.00E+00  7.86E-18
1387.03   7.80E-18  0.00E+00  7.80E-18
1388.03   7.75E-18  0.00E+00  7.75E-18
1389.03   7.69E-18  0.00E+00  7.69E-18
1390.03   7.64E-18  0.00E+00  7.64E-18
1391.03   7.58E-18  0.00E+00  7.58E-18
1392.03   7.53E-18  0.00E+00  7.53E-18
1393.03   7.47E-18  0.00E+00  7.47E-18
1394.03   7.42E-18  0.00E+00  7.42E-18
1395.03   7.36E-18  0.00E+00  7.36E-18
1396.03   7.31E-18  0.00E+00  7.31E-18
1397.03   7.25E-18  0.00E+00  7.25E-18
1398.03   7.20E-18  0.00E+00  7.20E-18
1399.03   7.15E-18  0.00E+00  7.15E-18
1400.03   7.10E-18  0.00E+00  7.10E-18
1401.03   7.05E-18  0.00E+00  7.05E-18
1402.03   7.01E-18  0.00E+00  7.01E-18
1403.03   6.96E-18  0.00E+00  6.96E-18
1404.03   6.92E-18  0.00E+00  6.92E-18
1405.03   6.87E-18  0.00E+00  6.87E-18
1406.03   6.83E-18  0.00E+00  6.83E-18
1407.03   6.78E-18  0.00E+00  6.78E-18
1408.03   6.74E-18  0.00E+00  6.74E-18
1409.03   6.69E-18  0.00E+00  6.69E-18
1410.03   6.64E-18  0.00E+00  6.64E-18
1411.03   6.60E-18  0.00E+00  6.60E-18
1412.03   6.55E-18  0.00E+00  6.55E-18
1413.03   6.51E-18  0.00E+00  6.51E-18
1414.03   6.46E-18  0.00E+00  6.46E-18
1415.03   6.42E-18  0.00E+00  6.42E-18
1416.03   6.37E-18  0.00E+00  6.37E-18
1417.03   6.32E-18  0.00E+00  6.32E-18
1418.03   6.28E-18  0.00E+00  6.28E-18
1419.03   6.25E-18  0.00E+00  6.25E-18
1420.03   6.22E-18  0.00E+00  6.22E-18
1421.03   6.19E-18  0.00E+00  6.19E-18
1422.03   6.16E-18  0.00E+00  6.16E-18
1423.03   6.13E-18  0.00E+00  6.13E-18
1424.03   6.10E-18  0.00E+00  6.10E-18
1425.03   6.07E-18  0.00E+00  6.07E-18
1426.03   6.04E-18  0.00E+00  6.04E-18
1427.03   6.01E-18  0.00E+00  6.01E-18
1428.03   5.98E-18  0.00E+00  5.98E-18
1429.03   5.95E-18  0.00E+00  5.95E-18
1430.03   5.92E-18  0.00E+00  5.92E-18
1431.03   5.89E-18  0.00E+00  5.89E-18
1432.03   5.86E-18  0.00E+00  5.86E-18
1433.03   5.83E-18  0.00E+00  5.83E-18
1434.03   5.80E-18  0.00E+00  5.80E-18
1435.03   5.76E-18  0.00E+00  5.76E-18
1436.03   5.73E-18  0.00E+00  5.73E-18
1437.03   5.70E-18  0.00E+00  5.70E-18
1438.04   5.67E-18  0.00E+00  5.67E-18
1439.04   5.65E-18  0.00E+00  5.65E-18
1440.04   5.63E-18  0.00E+00  5.63E-18
1441.04   5.61E-18  0.00E+00  5.61E-18
1442.04   5.59E-18  0.00E+00  5.59E-18
1443.04   5.57E-18  0.00E+00  5.57E-18
1444.04   5.55E-18  0.00E+00  5.55E-18
1445.04   5.53E-18  0.00E+00  5.53E-18
1446.04   5.51E-18  0.00E+00  5.51E-18
1447.04   5.49E-18  0.00E+00  5.49E-18
1448.04   5.46E-18  0.00E+00  5.46E-18
1449.04   5.44E-18  0.00E+00  5.44E-18
1450.04   5.42E-18  0.00E+00  5.42E-18
1451.04   5.40E-18  0.00E+00  5.40E-18
1452.04   5.38E-18  0.00E+00  5.38E-18
1453.04   5.36E-18  0.00E+00  5.36E-18
1454.04   5.34E-18  0.00E+00  5.34E-18
1455.04   5.32E-18  0.00E+00  5.32E-18
1456.04   5.30E-18  0.00E+00  5.30E-18
1457.04   5.28E-18  0.00E+00  5.28E-18
1458.04   5.26E-18  0.00E+00  5.26E-18
1459.04   5.24E-18  0.00E+00  5.24E-18
1460.04   5.21E-18  0.00E+00  5.21E-18
1461.04   5.18E-18  0.00E+00  5.18E-18
1462.04   5.14E-18  0.00E+00  5.14E-18
1463.04   5.10E-18  0.00E+00  5.10E-18
1464.04   5.07E-18  0.00E+00  5.07E-18
1465.04   5.03E-18  0.00E+00  5.03E-18
1466.04   5.00E-18  0.00E+00  5.00E-18
1467.04   4.96E-18  0.00E+00  4.96E-18
1468.04   4.93E-18  0.00E+00  4.93E-18
1469.04   4.89E-18  0.00E+00  4.89E-18
1470.04   4.86E-18  0.00E+00  4.86E-18
1471.04   4.82E-18  0.00E+00  4.82E-18
1472.04   4.79E-18  0.00E+00  4.79E-18
1473.04   4.75E-18  0.00E+00  4.75E-18
1474.04   4.72E-18  0.00E+00  4.72E-18
1475.04   4.68E-18  0.00E+00  4.68E-18
1476.04   4.65E-18  0.00E+00  4.65E-18
1477.04   4.61E-18  0.00E+00  4.61E-18
1478.04   4.57E-18  0.00E+00  4.57E-18
1479.04   4.54E-18  0.00E+00  4.54E-18
1480.04   4.50E-18  0.00E+00  4.50E-18
1481.04   4.47E-18  0.00E+00  4.47E-18
1482.04   4.43E-18  0.00E+00  4.43E-18
1483.04   4.40E-18  0.00E+00  4.40E-18
1484.04   4.36E-18  0.00E+00  4.36E-18
1485.04   4.33E-18  0.00E+00  4.33E-18
1486.04   4.30E-18  0.00E+00  4.30E-18
1487.04   4.26E-18  0.00E+00  4.26E-18
1488.04   4.23E-18  0.00E+00  4.23E-18
1489.04   4.19E-18  0.00E+00  4.19E-18
1490.04   4.16E-18  0.00E+00  4.16E-18
1491.04   4.12E-18  0.00E+00  4.12E-18
1492.04   4.09E-18  0.00E+00  4.09E-18
1493.04   4.05E-18  0.00E+00  4.05E-18
1494.04   4.02E-18  0.00E+00  4.02E-18
1495.04   3.98E-18  0.00E+00  3.98E-18
1496.04   3.95E-18  0.00E+00  3.95E-18
1497.04   3.91E-18  0.00E+00  3.91E-18
1498.04   3.88E-18  0.00E+00  3.88E-18
1499.04   3.84E-18  0.00E+00  3.84E-18
1500.04   3.81E-18  0.00E+00  3.81E-18
1501.04   3.78E-18  0.00E+00  3.78E-18
1502.04   3.74E-18  0.00E+00  3.74E-18
1503.04   3.71E-18  0.00E+00  3.71E-18
1504.04   3.67E-18  0.00E+00  3.67E-18
1505.04   3.64E-18  0.00E+00  3.64E-18
1506.05   3.61E-18  0.00E+00  3.61E-18
1507.05   3.57E-18  0.00E+00  3.57E-18
1508.05   3.54E-18  0.00E+00  3.54E-18
1509.05   3.51E-18  0.00E+00  3.51E-18
1510.05   3.47E-18  0.00E+00  3.47E-18
1511.05   3.44E-18  0.00E+00  3.44E-18
1512.05   3.41E-18  0.00E+00  3.41E-18
1513.05   3.37E-18  0.00E+00  3.37E-18
1514.05   3.34E-18  0.00E+00  3.34E-18
1515.05   3.31E-18  0.00E+00  3.31E-18
1516.05   3.28E-18  0.00E+00  3.28E-18
1517.05   3.24E-18  0.00E+00  3.24E-18
1518.05   3.21E-18  0.00E+00  3.21E-18
1519.05   3.18E-18  0.00E+00  3.18E-18
1520.05   3.14E-18  0.00E+00  3.14E-18
1521.05   3.11E-18  0.00E+00  3.11E-18
1522.05   3.08E-18  0.00E+00  3.08E-18
1523.05   3.04E-18  0.00E+00  3.04E-18
1524.05   3.01E-18  0.00E+00  3.01E-18
1525.05   2.98E-18  0.00E+00  2.98E-18
1526.05   2.94E-18  0.00E+00  2.94E-18
1527.05   2.91E-18  0.00E+00  2.91E-18
1528.05   2.88E-18  0.00E+00  2.88E-18
1529.05   2.85E-18  0.00E+00  2.85E-18
1530.05   2.82E-18  0.00E+00  2.82E-18
1531.05   2.79E-18  0.00E+00  2.79E-18
1532.05   2.76E-18  0.00E+00  2.76E-18
1533.05   2.72E-18  0.00E+00  2.72E-18
1534.05   2.69E-18  0.00E+00  2.69E-18
1535.05   2.66E-18  0.00E+00  2.66E-18
1536.05   2.63E-18  0.00E+00  2.63E-18
1537.05   2.60E-18  0.00E+00  2.60E-18
1538.05   2.57E-18  0.00E+00  2.57E-18
1539.05   2.53E-18  0.00E+00  2.53E-18
1540.05   2.50E-18  0.00E+00  2.50E-18
1541.05   2.47E-18  0.00E+00  2.47E-18
1542.05   2.44E-18  0.00E+00  2.44E-18
1543.05   2.41E-18  0.00E+00  2.41E-18
1544.05   2.38E-18  0.00E+00  2.38E-18
1545.05   2.35E-18  0.00E+00  2.35E-18
1546.05   2.31E-18  0.00E+00  2.31E-18
1547.05   2.28E-18  0.00E+00  2.28E-18
1548.05   2.25E-18  0.00E+00  2.25E-18
1549.05   2.22E-18  0.00E+00  2.22E-18
1550.05   2.19E-18  0.00E+00  2.19E-18
1551.05   2.17E-18  0.00E+00  2.17E-18
1552.05   2.14E-18  0.00E+00  2.14E-18
1553.05   2.12E-18  0.00E+00  2.12E-18
1554.05   2.10E-18  0.00E+00  2.10E-18
1555.05   2.07E-18  0.00E+00  2.07E-18
1556.05   2.05E-18  0.00E+00  2.05E-18
1557.05   2.03E-18  0.00E+00  2.03E-18
1558.05   2.01E-18  0.00E+00  2.01E-18
1559.05   1.98E-18  0.00E+00  1.98E-18
1560.05   1.96E-18  0.00E+00  1.96E-18
1561.05   1.94E-18  0.00E+00  1.94E-18
1562.05   1.91E-18  0.00E+00  1.91E-18
1563.05   1.89E-18  0.00E+00  1.89E-18
1564.05   1.87E-18  0.00E+00  1.87E-18
1565.05   1.85E-18  0.00E+00  1.85E-18
1566.05   1.82E-18  0.00E+00  1.82E-18
1567.05   1.80E-18  0.00E+00  1.80E-18
1568.05   1.78E-18  0.00E+00  1.78E-18
1569.05   1.75E-18  0.00E+00  1.75E-18
1570.05   1.73E-18  0.00E+00  1.73E-18
1571.05   1.71E-18  0.00E+00  1.71E-18
1572.05   1.69E-18  0.00E+00  1.69E-18
1573.05   1.66E-18  0.00E+00  1.66E-18
1574.06   1.64E-18  0.00E+00  1.64E-18
1575.06   1.62E-18  0.00E+00  1.62E-18
1576.06   1.60E-18  0.00E+00  1.60E-18
1577.06   1.59E-18  8.98E-22  1.59E-18
1578.06   1.57E-18  3.04E-21  1.57E-18
1579.06   1.55E-18  5.14E-21  1.55E-18
1580.06   1.54E-18  7.18E-21  1.53E-18
1581.06   1.52E-18  9.19E-21  1.51E-18
1582.06   1.50E-18  1.11E-20  1.49E-18
1583.06   1.49E-18  1.31E-20  1.47E-18
1584.06   1.47E-18  1.49E-20  1.45E-18
1585.06   1.45E-18  1.67E-20  1.44E-18
1586.06   1.44E-18  1.85E-20  1.42E-18
1587.06   1.42E-18  2.02E-20  1.40E-18
1588.06   1.40E-18  2.19E-20  1.38E-18
1589.06   1.38E-18  2.35E-20  1.36E-18
1590.06   1.37E-18  2.51E-20  1.34E-18
1591.06   1.35E-18  2.67E-20  1.32E-18
1592.06   1.33E-18  2.82E-20  1.31E-18
1593.06   1.32E-18  2.96E-20  1.29E-18
1594.06   1.30E-18  3.10E-20  1.27E-18
1595.06   1.28E-18  3.24E-20  1.25E-18
1596.06   1.27E-18  3.37E-20  1.23E-18
1597.06   1.25E-18  3.50E-20  1.21E-18
1598.06   1.23E-18  3.62E-20  1.20E-18
1599.06   1.22E-18  3.73E-20  1.18E-18
1600.06   1.20E-18  3.85E-20  1.16E-18
1601.06   1.19E-18  3.98E-20  1.15E-18
1602.06   1.18E-18  4.12E-20  1.14E-18
1603.06   1.17E-18  4.25E-20  1.13E-18
1604.06   1.17E-18  4.38E-20  1.12E-18
1605.06   1.16E-18  4.50E-20  1.11E-18
1606.06   1.15E-18  4.63E-20  1.10E-18
1607.06   1.14E-18  4.75E-20  1.09E-18
1608.06   1.13E-18  4.87E-20  1.08E-18
