0 Branching ratio for CHO      Total        1 branches
Lambda        Total        H/CO
1533.05      0.00E+00      0.00E+00
1534.05      0.00E+00      0.00E+00
1535.05      0.00E+00      0.00E+00
1536.05      0.00E+00      0.00E+00
1537.05      0.00E+00      0.00E+00
1538.05      0.00E+00      0.00E+00
1539.05      0.00E+00      0.00E+00
1540.05      0.00E+00      0.00E+00
1541.05      0.00E+00      0.00E+00
1542.05      0.00E+00      0.00E+00
1543.05      0.00E+00      0.00E+00
1544.05      0.00E+00      0.00E+00
1545.05      0.00E+00      0.00E+00
1546.05      0.00E+00      0.00E+00
1547.05      0.00E+00      0.00E+00
1548.05      0.00E+00      0.00E+00
1549.05      0.00E+00      0.00E+00
1550.05      0.00E+00      0.00E+00
1551.05      0.00E+00      0.00E+00
1552.05      0.00E+00      0.00E+00
1553.05      0.00E+00      0.00E+00
1554.05      0.00E+00      0.00E+00
1555.05      0.00E+00      0.00E+00
1556.05      0.00E+00      0.00E+00
1557.05      0.00E+00      0.00E+00
1558.05      0.00E+00      0.00E+00
1559.05      0.00E+00      0.00E+00
1560.05      0.00E+00      0.00E+00
1561.05      0.00E+00      0.00E+00
1562.05      0.00E+00      0.00E+00
1563.05      0.00E+00      0.00E+00
1564.05      0.00E+00      0.00E+00
1565.05      0.00E+00      0.00E+00
1566.05      0.00E+00      0.00E+00
1567.05      0.00E+00      0.00E+00
1568.05      0.00E+00      0.00E+00
1569.05      0.00E+00      0.00E+00
1570.05      0.00E+00      0.00E+00
1571.05      0.00E+00      0.00E+00
1572.05      0.00E+00      0.00E+00
1573.05      0.00E+00      0.00E+00
1574.06      0.00E+00      0.00E+00
1575.06      0.00E+00      0.00E+00
1576.06      0.00E+00      0.00E+00
1577.06      0.00E+00      0.00E+00
1578.06      0.00E+00      0.00E+00
1579.06      0.00E+00      0.00E+00
1580.06      0.00E+00      0.00E+00
1581.06      0.00E+00      0.00E+00
1582.06      0.00E+00      0.00E+00
1583.06      0.00E+00      0.00E+00
1584.06      0.00E+00      0.00E+00
1585.06      0.00E+00      0.00E+00
1586.06      0.00E+00      0.00E+00
1587.06      0.00E+00      0.00E+00
1588.06      0.00E+00      0.00E+00
1589.06      0.00E+00      0.00E+00
1590.06      0.00E+00      0.00E+00
1591.06      0.00E+00      0.00E+00
1592.06      0.00E+00      0.00E+00
1593.06      0.00E+00      0.00E+00
1594.06      0.00E+00      0.00E+00
1595.06      0.00E+00      0.00E+00
1596.06      0.00E+00      0.00E+00
1597.06      0.00E+00      0.00E+00
1598.06      0.00E+00      0.00E+00
1599.06      0.00E+00      0.00E+00
1600.06      0.00E+00      0.00E+00
1601.06      0.00E+00      0.00E+00
1602.06      0.00E+00      0.00E+00
1603.06      0.00E+00      0.00E+00
1604.06      0.00E+00      0.00E+00
1605.06      0.00E+00      0.00E+00
1606.06      0.00E+00      0.00E+00
1607.06      0.00E+00      0.00E+00
1608.06      0.00E+00      0.00E+00
1609.06      0.00E+00      0.00E+00
1610.06      0.00E+00      0.00E+00
1611.06      0.00E+00      0.00E+00
1612.06      0.00E+00      0.00E+00
1613.06      0.00E+00      0.00E+00
1614.06      0.00E+00      0.00E+00
1615.06      0.00E+00      0.00E+00
1616.06      0.00E+00      0.00E+00
1617.06      0.00E+00      0.00E+00
1618.06      0.00E+00      0.00E+00
1619.06      0.00E+00      0.00E+00
1620.06      0.00E+00      0.00E+00
1621.06      0.00E+00      0.00E+00
1622.06      0.00E+00      0.00E+00
1623.06      0.00E+00      0.00E+00
1624.06      0.00E+00      0.00E+00
1625.06      0.00E+00      0.00E+00
1626.06      0.00E+00      0.00E+00
1627.06      0.00E+00      0.00E+00
1628.06      0.00E+00      0.00E+00
1629.06      0.00E+00      0.00E+00
1630.06      0.00E+00      0.00E+00
1631.06      0.00E+00      0.00E+00
1632.06      0.00E+00      0.00E+00
1633.06      0.00E+00      0.00E+00
1634.06      0.00E+00      0.00E+00
1635.06      0.00E+00      0.00E+00
1636.06      0.00E+00      0.00E+00
1637.06      0.00E+00      0.00E+00
1638.06      0.00E+00      0.00E+00
1639.06      0.00E+00      0.00E+00
1640.06      0.00E+00      0.00E+00
1641.06      0.00E+00      0.00E+00
1642.07      0.00E+00      0.00E+00
1643.07      0.00E+00      0.00E+00
1644.07      0.00E+00      0.00E+00
1645.07      0.00E+00      0.00E+00
1646.07      0.00E+00      0.00E+00
1647.07      0.00E+00      0.00E+00
1648.07      0.00E+00      0.00E+00
1649.07      0.00E+00      0.00E+00
1650.07      0.00E+00      0.00E+00
1651.07      0.00E+00      0.00E+00
1652.07      0.00E+00      0.00E+00
1653.07      0.00E+00      0.00E+00
1654.07      0.00E+00      0.00E+00
1655.07      0.00E+00      0.00E+00
1656.07      0.00E+00      0.00E+00
1657.07      0.00E+00      0.00E+00
1658.07      0.00E+00      0.00E+00
1659.07      0.00E+00      0.00E+00
1660.07      0.00E+00      0.00E+00
1661.07      0.00E+00      0.00E+00
1662.07      0.00E+00      0.00E+00
1663.07      0.00E+00      0.00E+00
1664.07      0.00E+00      0.00E+00
1665.07      0.00E+00      0.00E+00
1666.07      0.00E+00      0.00E+00
1667.07      0.00E+00      0.00E+00
1668.07      0.00E+00      0.00E+00
1669.07      0.00E+00      0.00E+00
1670.07      0.00E+00      0.00E+00
1671.07      0.00E+00      0.00E+00
1672.07      0.00E+00      0.00E+00
1673.07      0.00E+00      0.00E+00
1674.07      0.00E+00      0.00E+00
1675.07      0.00E+00      0.00E+00
1676.07      0.00E+00      0.00E+00
1677.07      0.00E+00      0.00E+00
1678.07      0.00E+00      0.00E+00
1679.07      0.00E+00      0.00E+00
1680.07      0.00E+00      0.00E+00
1681.07      0.00E+00      0.00E+00
1682.07      0.00E+00      0.00E+00
1683.07      0.00E+00      0.00E+00
1684.07      0.00E+00      0.00E+00
1685.07      0.00E+00      0.00E+00
1686.07      0.00E+00      0.00E+00
1687.07      0.00E+00      0.00E+00
1688.07      0.00E+00      0.00E+00
1689.07      0.00E+00      0.00E+00
1690.07      0.00E+00      0.00E+00
1691.07      0.00E+00      0.00E+00
1692.07      0.00E+00      0.00E+00
1693.07      0.00E+00      0.00E+00
1694.07      0.00E+00      0.00E+00
1695.07      0.00E+00      0.00E+00
1696.07      0.00E+00      0.00E+00
1697.07      0.00E+00      0.00E+00
1698.07      0.00E+00      0.00E+00
1699.07      0.00E+00      0.00E+00
1700.07      0.00E+00      0.00E+00
1701.07      0.00E+00      0.00E+00
1702.07      0.00E+00      0.00E+00
1703.07      0.00E+00      0.00E+00
1704.07      0.00E+00      0.00E+00
1705.07      0.00E+00      0.00E+00
1706.07      0.00E+00      0.00E+00
1707.07      0.00E+00      0.00E+00
1708.07      0.00E+00      0.00E+00
1709.07      0.00E+00      0.00E+00
1710.08      0.00E+00      0.00E+00
1711.08      0.00E+00      0.00E+00
1712.08      0.00E+00      0.00E+00
1713.08      0.00E+00      0.00E+00
1714.08      0.00E+00      0.00E+00
